caution_speed_kmh,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
60,detection,13,29,4,0.13793103448275862,4,0,0.0,4,47,11.17500000001285,0.3750000000008811,1.66805555555552,100.0,100.0,0.0,3.2000000000000015,29,4,4,4,1,26,3.7769932746887207
60,detection,14,29,6,0.20689655172413793,6,0,0.0,6,70,9.533333333354827,0.2666666666666515,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.8168203830718994
60,aware,0,29,4,0.13793103448275862,4,0,0.0,4,48,11.025000000028008,0.17500000000054428,1.6666666666666312,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.8064029216766357
60,aware,1,29,5,0.1724137931034483,4,0,0.0,5,59,7.540000000013697,0.11999999999998182,2.086111111111052,100.0,100.0,0.0,1.4000000000000001,29,6,4,5,1,25,4.106783866882324
60,aware,2,29,6,0.20689655172413793,6,0,0.0,6,73,9.283333333360853,0.2833333333342504,2.5013888888888065,100.0,100.0,0.0,0.0,29,7,6,6,0,23,4.031784296035767
60,aware,3,29,5,0.1724137931034483,5,1,0.2,5,55,9.939999999999964,0.12000000000007276,2.087499999999941,100.0,100.0,0.0,2.700000000000001,29,5,5,6,1,24,3.9684791564941406
60,aware,4,29,8,0.27586206896551724,8,2,0.25,8,95,9.250000000022666,0.12500000000032685,3.336111111110981,100.0,100.0,0.0,2.3000000000000007,29,8,8,8,1,22,4.086319923400879
60,aware,5,29,5,0.1724137931034483,5,0,0.0,5,59,12.35999999999749,0.31999999999970896,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.9063668251037598
60,aware,6,29,8,0.27586206896551724,8,1,0.125,8,96,9.162500000015257,0.18750000000041211,3.3347222222220925,100.0,100.0,0.0,0.0,29,8,8,8,0,21,4.050856828689575
60,aware,7,29,6,0.20689655172413793,6,2,0.3333333333333333,6,72,8.300000000012957,0.3500000000004633,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.943329095840454
60,aware,8,29,3,0.10344827586206896,3,1,0.3333333333333333,3,36,10.133333333347005,0.20000000000004547,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,4.034172296524048
60,aware,9,29,5,0.1724137931034483,5,1,0.2,5,57,7.459999999998075,0.11999999999999886,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.4999289512634277
60,aware,10,29,7,0.2413793103448276,7,0,0.0,7,82,7.7857142857215615,0.20000000000014292,2.920833333333227,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.5353665351867676
